7:
 num     #instances         #bytes  class name (module)
 172:           269           8608  org.springframework.core.type.classreading.SimpleMethodMetadataReadingVisitor$Source
 173:           117           8424  org.springframework.core.annotation.AnnotationTypeMapping
 174:           150           8400  java.nio.HeapCharBuffer (java.base@21.0.12)
 175:           209           8360  java.lang.invoke.DirectMethodHandle$Interface (java.base@21.0.12)
 176:           209           8360  sun.security.pkcs11.SunPKCS11$Descriptor (jdk.crypto.cryptoki@21.0.12)
 177:           515           8240  org.springframework.core.ResolvableType$DefaultVariableResolver
 178:           170           8160  java.util.logging.LogManager$LoggerWeakRef (java.logging@21.0.12)
 179:           337           8088  org.springframework.boot.autoconfigure.condition.ConditionEvaluationReport$ConditionAndOutcome
 180:           337           8088  org.springframework.boot.autoconfigure.condition.ConditionOutcome
 181:           112           8064  java.lang.reflect.Field (java.base@21.0.12)
 182:           488           7808  org.springframework.beans.factory.support.MethodOverrides
 183:           477           7632  java.util.HashMap$KeySet (java.base@21.0.12)
 184:           118           7552  java.util.zip.Inflater (java.base@21.0.12)
 185:           234           7488  jdk.internal.reflect.DirectMethodHandleAccessor (java.base@21.0.12)
 186:           132           7392  java.lang.invoke.BoundMethodHandle$Species_LLLLL (java.base@21.0.12)
 187:           308           7392  jdk.internal.loader.AbstractClassLoaderValue$Sub (java.base@21.0.12)
 188:           230           7360  java.util.Collections$UnmodifiableMap (java.base@21.0.12)
 189:            82           7216  java.util.regex.Pattern (java.base@21.0.12)
 190:           150           7200  [Lorg.apache.tomcat.util.http.MimeHeaderField;
 191:           180           7200  org.h2.command.CommandContainer
 192:           300           7200  org.h2.command.Token$ParameterToken
 193:           299           7176  org.springframework.data.util.Lazy
 194:           128           7168  org.hibernate.validator.internal.util.ConcurrentReferenceHashMap$Segment
 195:           289           6936  jdk.internal.reflect.DirectConstructorHandleAccessor (java.base@21.0.12)
 196:           215           6880  org.springframework.core.SerializableTypeWrapper$MethodParameterTypeProvider
 197:           169           6760  java.lang.reflect.Parameter (java.base@21.0.12)
 198:           249           6672  [Lorg.springframework.core.annotation.AnnotationTypeMappings;
 199:           139           6672  java.lang.invoke.BoundMethodHandle$Species_LLL (java.base@21.0.12)
 200:           247           6624  [Lorg.springframework.core.annotation.MergedAnnotation;
 201:           295           6608  [Lsun.reflect.generics.tree.FieldTypeSignature; (java.base@21.0.12)
 202:           136           6528  [Ljava.lang.reflect.Method; (java.base@21.0.12)
 203:           101           6464  org.h2.index.IndexCursor
 204:            60           6240  org.h2.result.LocalResult
 205:           260           6240  org.jboss.logging.Slf4jLocationAwareLogger
 206:           128           6144  org.hibernate.internal.util.collections.BoundedConcurrentHashMap$Segment
 207:           254           6096  java.util.Collections$SetFromMap (java.base@21.0.12)
 208:           253           6072  java.util.concurrent.atomic.AtomicLong (java.base@21.0.12)
 209:           188           6016  jdk.jfr.internal.EventControl (jdk.jfr@21.0.12)
 210:           188           6016  jdk.jfr.internal.settings.EnabledSetting (jdk.jfr@21.0.12)
 211:           250           6000  java.util.regex.Pattern$BmpCharProperty (java.base@21.0.12)
 212:            22           5984  org.h2.engine.SessionLocal
 213:           248           5952  java.security.Provider$UString (java.base@21.0.12)
 214:            53           5936  org.springframework.boot.loader.jar.NestedJarFile$NestedJarEntry
 215:           247           5928  org.springframework.core.annotation.MergedAnnotationsCollection
 216:           246           5904  java.util.ArrayDeque (java.base@21.0.12)
 217:           183           5856  jdk.jfr.internal.SettingsManager$InternalSetting (jdk.jfr@21.0.12)
 218:           244           5856  jdk.jfr.internal.settings.BooleanValue (jdk.jfr@21.0.12)
 219:           180           5760  java.util.ArrayList$Itr (java.base@21.0.12)
 220:           180           5760  jdk.internal.loader.BuiltinClassLoader$1 (java.base@21.0.12)
 221:           237           5688  org.springframework.beans.MutablePropertyValues
 222:            50           5600  org.apache.coyote.Response
 223:           232           5568  javax.management.ObjectName$Property (java.management@21.0.12)
 224:            98           5488  org.hibernate.internal.util.collections.BoundedConcurrentHashMap$LIRSHashEntry
 225:            97           5432  org.springframework.core.type.classreading.SimpleAnnotationMetadata
 226:           225           5400  com.fasterxml.jackson.databind.type.ClassKey
 227:           337           5392  org.springframework.boot.autoconfigure.condition.ConditionMessage
 228:           128           5376  [Lorg.hibernate.validator.internal.util.ConcurrentReferenceHashMap$HashEntry;
 229:            96           5376  org.hibernate.internal.util.collections.BoundedConcurrentHashMap$LIRS
 230:            50           5200  org.apache.coyote.http11.Http11Processor
 231:           216           5184  org.springframework.beans.BeanMetadataAttribute
 232:           161           4976  [Ljavax.management.ObjectName$Property; (java.management@21.0.12)
 233:           123           4920  com.fasterxml.jackson.databind.introspect.AnnotatedMethod
 234:            61           4880  [Lorg.springframework.util.ConcurrentReferenceHashMap$Segment;
 235:           202           4848  java.util.LinkedList$Node (java.base@21.0.12)
 236:           161           4816  [Lorg.h2.expression.Expression;
 237:            60           4800  [Lorg.h2.mvstore.tx.Record;
 238:           145           4800  [Lorg.h2.table.IndexColumn;
 239:           200           4800  jdk.internal.module.SystemModuleFinders$2 (java.base@21.0.12)
 240:            60           4800  org.springframework.boot.loader.zip.ZipContent
 241:            81           4728  [Lorg.h2.value.TypeInfo;
 242:           147           4704  sun.reflect.generics.reflectiveObjects.TypeVariableImpl (java.base@21.0.12)
 243:            83           4648  java.util.logging.Logger (java.logging@21.0.12)
 244:           289           4624  org.springframework.boot.autoconfigure.condition.ConditionEvaluationReport$ConditionAndOutcomes
 245:           288           4608  java.util.HashMap$EntrySet (java.base@21.0.12)
 246:            96           4608  jdk.jfr.internal.Type (jdk.jfr@21.0.12)
 247:           114           4560  java.lang.invoke.DirectMethodHandle$Special (java.base@21.0.12)
 248:           190           4560  jdk.internal.module.ServicesCatalog$ServiceProvider (java.base@21.0.12)
 249:            81           4536  java.util.ServiceLoader (java.base@21.0.12)
 250:           188           4512  java.lang.module.ModuleDescriptor$Provides (java.base@21.0.12)
 251:           188           4512  jdk.jfr.EventType (jdk.jfr@21.0.12)
 252:            94           4512  org.hibernate.query.sqm.function.NamedSqmFunctionDescriptor
 253:            92           4416  org.springframework.context.annotation.ConfigurationClass
 254:            50           4400  org.apache.coyote.RequestInfo
 255:            50           4400  org.apache.coyote.http11.Http11InputBuffer
 256:           137           4384  java.util.logging.LogManager$LogNode (java.logging@21.0.12)
 257:           100           4368  [Lorg.h2.table.Column;
 258:           134           4288  sun.nio.fs.UnixPath (java.base@21.0.12)
 259:           178           4272  java.util.concurrent.ConcurrentLinkedQueue$Node (java.base@21.0.12)
 260:            76           4256  java.lang.Module (java.base@21.0.12)
 261:           104           4160  java.util.WeakHashMap$Entry (java.base@21.0.12)
 262:           130           4160  sun.reflect.annotation.AnnotationType (java.base@21.0.12)
 263:           256           4096  java.lang.Byte (java.base@21.0.12)
 264:           256           4096  java.lang.Short (java.base@21.0.12)
 265:            84           4032  java.lang.invoke.DirectMethodHandle$Accessor (java.base@21.0.12)
 266:             1           4024  [Lorg.antlr.v4.runtime.misc.Interval;
 267:           167           4008  java.util.Collections$SingletonList (java.base@21.0.12)
 268:           124           3968  net.bytebuddy.description.method.MethodDescription$ForLoadedMethod
 269:           164           3936  java.util.concurrent.ConcurrentLinkedQueue (java.base@21.0.12)
 270:            35           3920  org.h2.table.InformationSchemaTable
 271:            44           3872  com.fasterxml.jackson.databind.ser.BeanPropertyWriter
 272:           160           3840  [Ljava.util.Enumeration; (java.base@21.0.12)
 273:           160           3840  java.lang.CompoundEnumeration (java.base@21.0.12)
 274:           240           3840  java.util.WeakHashMap$KeySet (java.base@21.0.12)
 275:           120           3840  java.util.zip.ZipFile$CleanableResource (java.base@21.0.12)
 276:           118           3776  org.springframework.boot.loader.jar.NestedJarFileResources
 277:            50           3600  org.apache.catalina.connector.InputBuffer
 278:            50           3600  org.apache.coyote.http11.filters.ChunkedInputFilter
 279:           150           3600  org.apache.tomcat.util.http.MimeHeaders
 280:            50           3600  org.apache.tomcat.util.http.Parameters
 281:           112           3584  com.fasterxml.jackson.databind.util.internal.PrivateMaxEntriesMap$Node
 282:           125           3576  [Lorg.springframework.core.annotation.AnnotationTypeMapping$MirrorSets$MirrorSet;
 283:           148           3552  sun.reflect.generics.tree.FormalTypeParameter (java.base@21.0.12)
 284:           147           3528  java.util.regex.Pattern$GroupTail (java.base@21.0.12)
 285:           109           3488  org.springframework.boot.loader.zip.FileDataBlock
 286:            39           3432  org.h2.index.MetaIndex
 287:           142           3408  java.util.LinkedHashMap$LinkedEntrySet (java.base@21.0.12)
 288:           142           3408  java.util.regex.Pattern$GroupHead (java.base@21.0.12)
 289:            47           3384  java.util.concurrent.ScheduledThreadPoolExecutor$ScheduledFutureTask (java.base@21.0.12)
 290:            84           3360  java.util.logging.Logger$ConfigurationData (java.logging@21.0.12)
 291:            83           3320  java.io.ObjectStreamField (java.base@21.0.12)
 292:            46           3312  org.h2.value.DataType
 293:           136           3264  org.springframework.context.annotation.BeanMethod
 294:            58           3248  org.h2.mvstore.RootReference
 295:            81           3240  java.util.ServiceLoader$LazyClassPathLookupIterator (java.base@21.0.12)
 296:           117           3232  [Lorg.springframework.core.annotation.AnnotationTypeMapping;
 297:           122           3200  [Ljava.lang.annotation.ElementType; (java.base@21.0.12)
 298:           100           3200  [Lorg.apache.coyote.http11.InputFilter;
 299:           100           3200  [Lorg.apache.coyote.http11.OutputFilter;
 300:           100           3200  jdk.internal.loader.URLClassPath$1 (java.base@21.0.12)
 301:            50           3200  org.apache.catalina.connector.OutputBuffer
 302:            50           3200  org.apache.catalina.connector.Response
 303:           132           3192  [Ljava.lang.reflect.TypeVariable; (java.base@21.0.12)
 304:            66           3168  org.springframework.core.annotation.TypeMappedAnnotations
 305:            99           3168  org.springframework.core.io.ClassPathResource
 306:           131           3144  java.util.Arrays$ArrayList (java.base@21.0.12)
 307:           130           3120  java.util.regex.Pattern$BmpCharPropertyGreedy (java.base@21.0.12)
 308:            64           3072  com.fasterxml.jackson.databind.type.SimpleType
 309:           128           3072  org.antlr.v4.runtime.misc.Interval
 310:           190           3040  jdk.internal.module.SystemModuleFinders$3 (java.base@21.0.12)
 311:           187           2992  com.fasterxml.jackson.databind.introspect.AnnotationMap
 312:           124           2976  java.lang.module.ResolvedModule (java.base@21.0.12)
 313:            53           2968  org.springframework.boot.loader.zip.ZipCentralDirectoryFileHeaderRecord
 314:            74           2960  java.security.ProtectionDomain (java.base@21.0.12)
 315:            61           2928  java.lang.invoke.BoundMethodHandle$Species_LLJ (java.base@21.0.12)
 316:            61           2928  java.lang.invoke.LambdaFormEditor$Transform (java.base@21.0.12)
 317:           183           2928  java.util.Collections$UnmodifiableSet (java.base@21.0.12)
 318:            61           2928  org.springframework.util.ConcurrentReferenceHashMap
 319:           112           2920  [Lorg.hibernate.query.sqm.produce.function.FunctionParameterType;
 320:            72           2880  java.security.CodeSource (java.base@21.0.12)
 321:           180           2880  org.h2.command.Token$EndOfInputToken
 322:            71           2840  org.antlr.v4.runtime.dfa.DFAState
 323:           118           2832  java.util.zip.Inflater$InflaterZStreamRef (java.base@21.0.12)
 324:           118           2832  org.springframework.boot.loader.net.protocol.jar.UrlJarManifest
 325:            32           2816  org.hibernate.internal.util.collections.BoundedConcurrentHashMap$LRU
 326:            39           2808  java.util.ResourceBundle$CacheKey (java.base@21.0.12)
 327:            39           2808  org.h2.command.dml.Call
 328:           117           2808  org.springframework.core.annotation.AnnotationTypeMapping$MirrorSets
 329:            50           2800  [Lorg.apache.catalina.core.ApplicationFilterConfig;
 330:            50           2800  org.apache.catalina.mapper.MappingData
 331:            50           2800  org.apache.coyote.http11.Http11OutputBuffer
 332:            69           2760  org.springframework.http.HttpStatus
 333:           172           2752  org.h2.value.ValueInteger
 334:           113           2736  [Lorg.antlr.v4.runtime.atn.ATNConfig;
 335:            57           2736  java.lang.invoke.BoundMethodHandle$Species_LJ (java.base@21.0.12)
 336:           112           2688  com.fasterxml.jackson.databind.util.internal.PrivateMaxEntriesMap$WeightedValue
 337:            25           2640  [Ljava.lang.ThreadLocal$ThreadLocalMap$Entry; (java.base@21.0.12)
 338:            82           2624  org.h2.mvstore.db.ValueDataType
 339:            81           2592  java.util.ServiceLoader$ModuleServicesLookupIterator (java.base@21.0.12)
 340:            81           2592  javax.management.ObjectName (java.management@21.0.12)
 341:            81           2592  jdk.jfr.internal.settings.PeriodSetting (jdk.jfr@21.0.12)
 342:            81           2592  org.h2.mvstore.db.RowDataType
 343:            81           2592  org.h2.result.RowFactory$DefaultRowFactory
 344:            80           2560  java.util.ImmutableCollections$ListItr (java.base@21.0.12)
 345:           106           2544  org.hibernate.query.sqm.produce.function.ArgumentTypesValidator
 346:            79           2528  org.hibernate.type.BasicTypeReference
 347:            79           2496  [Ljava.lang.CharSequence; (java.base@21.0.12)
 348:            78           2496  java.util.ResourceBundle$KeyElementReference (java.base@21.0.12)
 349:            78           2496  org.springframework.core.convert.TypeDescriptor
 350:           103           2472  [[C (java.base@21.0.12)
 351:            77           2464  jdk.jfr.internal.settings.ThresholdSetting (jdk.jfr@21.0.12)
 352:            17           2448  [Ljava.lang.invoke.MemberName; (java.base@21.0.12)
 353:            51           2448  java.lang.invoke.BoundMethodHandle$Species_LLLL (java.base@21.0.12)
 354:            61           2440  sun.nio.cs.UTF_8$Decoder (java.base@21.0.12)
 355:            50           2400  jdk.jfr.internal.periodic.JVMEventTask (jdk.jfr@21.0.12)
 356:           100           2400  org.h2.command.dml.SetClauseList$SetSimple
 357:            73           2336  java.lang.ThreadLocal$ThreadLocalMap$Entry (java.base@21.0.12)
 358:            87           2320  [Ljava.lang.reflect.Parameter; (java.base@21.0.12)
 359:            92           2296  [Lcom.fasterxml.jackson.databind.JavaType;
 360:            95           2280  java.util.regex.Pattern$$Lambda/0x800000029 (java.base@21.0.12)
 361:            20           2240  org.h2.command.dml.Insert
 362:            56           2240  org.springframework.boot.context.properties.source.ConfigurationPropertyName
 363:            56           2240  org.springframework.boot.context.properties.source.ConfigurationPropertyName$Elements
 364:           138           2208  sun.reflect.generics.tree.TypeVariableSignature (java.base@21.0.12)
 365:            68           2176  java.lang.invoke.LambdaForm$Kind (java.base@21.0.12)
 366:            57           2136  [Lorg.springframework.boot.context.properties.source.ConfigurationPropertyName$ElementType;
 367:            53           2120  java.io.FilePermission (java.base@21.0.12)
 368:            53           2120  sun.security.util.NamedCurve (java.base@21.0.12)
 369:            66           2112  org.springframework.core.type.StandardAnnotationMetadata
 370:            91           2096  [Ljava.lang.annotation.Annotation; (java.base@21.0.12)
 371:            87           2088  java.lang.reflect.Executable$ParameterData (java.base@21.0.12)
 372:            52           2080  org.apache.tomcat.util.log.UserDataHelper
 373:            86           2064  org.h2.mvstore.tx.Record
 374:           128           2048  java.lang.Character (java.base@21.0.12)
 375:            51           2040  net.bytebuddy.description.type.TypeDescription$ForLoadedType
 376:            51           2040  org.antlr.v4.runtime.atn.LoopEndState
 377:            85           2040  org.springframework.boot.autoconfigure.condition.OnBeanCondition
 378:           127           2032  org.hibernate.query.sqm.produce.function.StandardArgumentsValidators$4
 379:            63           2016  org.springframework.format.support.FormattingConversionService$AnnotationParserConverter
 380:            63           2016  org.springframework.format.support.FormattingConversionService$AnnotationPrinterConverter
 381:            50           2000  java.io.FileDescriptor (java.base@21.0.12)
 382:            50           2000  org.apache.coyote.AsyncStateMachine
 383:            50           2000  org.apache.coyote.http11.filters.ChunkedOutputFilter
 384:            50           2000  org.apache.coyote.http11.filters.IdentityInputFilter
 385:            61           1952  java.util.regex.Pattern$Branch (java.base@21.0.12)
